Crop Type,Soil Type,Temperature (°C),Humidity (%),Soil Moisture (%),Rainfall (mm),Water Requirement (L/sq.m)
Maize,Sandy,16.67,51.85,96.5,240.36,0.0
Wheat,Clay,42.22,44.22,83.83,145.53,0.0
Rice,Sandy,41.93,53.95,93.11,216.3,0.0
Wheat,Silt,37.84,86.8,73.21,294.34,0.0
Rice,Loamy,12.03,55.45,11.54,81.8,0.0
Sugarcane,Silt,24.36,16.12,58.19,224.25,0.0
Wheat,Peat,31.94,28.41,45.88,58.1,1.99
Wheat,Sandy,20.54,32.32,78.67,52.51,0.0
Barley,Clay,40.74,15.4,72.35,149.32,0.0
Barley,Loamy,24.21,16.82,90.78,99.97,0.0
Cotton,Silt,38.49,65.57,29.51,143.7,0.0
Soybean,Silt,20.92,69.98,10.85,178.86,0.0
Barley,Sandy,33.65,49.37,84.67,201.39,0.0
Rice,Silt,35.32,38.46,94.4,147.97,0.0
Sugarcane,Clay,44.95,32.09,8.58,163.73,0.0
Rice,Silt,41.53,85.58,71.04,39.3,0.0
Wheat,Clay,37.84,75.42,97.34,52.98,0.0
Sugarcane,Silt,41.16,85.25,55.41,216.15,0.0
Wheat,Loamy,13.74,60.35,50.61,151.08,0.0
Rice,Peat,42.97,66.15,12.52,295.76,0.0
Wheat,Peat,44.15,54.35,44.12,62.87,0.47
Wheat,Clay,18.35,41.11,2.97,175.81,0.0
Rice,Silt,20.81,81.15,54.6,201.24,0.0
Sugarcane,Clay,44.3,74.18,91.1,194.69,0.0
Wheat,Clay,15.47,85.37,75.84,247.1,0.0
Soybean,Sandy,31.49,52.84,61.61,53.77,0.0
Sugarcane,Silt,26.57,14.83,72.96,198.95,0.0
Wheat,Loamy,41.86,49.84,95.36,192.96,0.0
Rice,Loamy,37.86,81.06,45.05,98.14,0.0
Wheat,Loamy,17.02,34.02,7.04,52.73,0.0
Wheat,Silt,44.3,83.65,23.55,39.11,0.0
Barley,Sandy,12.84,74.58,98.76,216.38,0.0
Tomato,Peat,23.98,44.68,59.8,292.76,0.0
Cotton,Peat,14.62,77.58,94.57,67.86,0.0
Tomato,Sandy,14.0,29.16,22.97,282.17,0.0
Rice,Sandy,42.19,15.69,57.73,0.74,14.14
Sugarcane,Sandy,24.84,11.63,69.97,162.1,0.0
Tomato,Sandy,26.05,89.89,41.03,144.71,0.0
Sugarcane,Sandy,18.42,64.51,52.26,242.65,0.0
Sugarcane,Loamy,26.77,13.65,32.67,219.9,0.0
Cotton,Sandy,21.72,55.95,2.47,90.32,0.0
Barley,Sandy,27.02,48.14,41.26,246.04,0.0
Maize,Silt,18.17,65.18,84.06,160.24,0.0
Cotton,Loamy,27.33,79.51,78.18,237.86,0.0
Rice,Silt,43.53,33.46,45.59,96.25,0.04
Rice,Loamy,26.59,63.89,1.48,143.12,0.0
Wheat,Clay,11.53,67.82,82.65,201.64,0.0
Rice,Loamy,43.07,77.39,46.75,90.55,0.0
Soybean,Loamy,26.46,22.24,4.68,109.8,0.0
Wheat,Clay,23.09,45.69,59.47,14.12,3.04
Cotton,Sandy,29.34,21.95,47.82,211.73,0.0
Soybean,Sandy,15.13,59.99,44.82,156.05,0.0
Cotton,Sandy,39.6,41.38,63.03,205.41,0.0
Sugarcane,Sandy,23.92,43.84,52.51,112.71,0.0
Maize,Clay,23.38,10.9,56.38,136.24,0.0
Sugarcane,Clay,20.08,32.99,75.92,125.8,0.0
Barley,Silt,19.77,10.06,95.36,32.72,2.39
Cotton,Loamy,31.55,75.72,96.59,287.16,0.0
Soybean,Peat,39.62,21.64,38.89,298.13,0.0
Barley,Clay,18.7,71.24,87.55,55.24,0.0
Tomato,Peat,12.66,17.79,96.85,17.21,1.84
Maize,Silt,26.19,73.16,67.55,159.89,0.0
Rice,Loamy,34.05,51.34,38.03,28.0,3.27
Cotton,Loamy,41.48,39.52,69.2,199.39,0.0
Barley,Sandy,38.89,15.21,61.03,4.73,9.47
Rice,Silt,19.15,68.06,16.0,290.59,0.0
Barley,Clay,24.83,21.86,79.85,207.58,0.0
Tomato,Peat,13.71,11.11,37.15,288.39,0.0
Rice,Loamy,16.21,55.05,85.61,197.02,0.0
Maize,Clay,34.57,70.14,27.68,60.57,0.0
Wheat,Peat,14.95,65.58,96.43,211.2,0.0
Barley,Sandy,29.23,16.54,16.8,256.58,0.0
Tomato,Silt,25.22,26.87,15.29,231.14,0.0
Wheat,Loamy,26.6,55.04,11.5,236.21,0.0
Soybean,Loamy,12.11,80.69,79.6,260.18,0.0
Tomato,Clay,23.85,37.06,63.65,193.93,0.0
Cotton,Loamy,18.23,31.34,17.61,180.97,0.0
Rice,Peat,41.9,50.64,10.81,177.14,0.0
Tomato,Silt,16.1,38.27,4.75,80.71,0.0
Rice,Peat,14.45,85.25,48.28,111.64,0.0
Soybean,Sandy,18.3,63.26,7.07,164.56,0.0
Maize,Peat,14.92,19.05,12.91,17.36,2.29
Maize,Loamy,23.45,69.57,12.02,1.34,2.24
Wheat,Peat,21.97,57.57,50.95,123.8,0.0
Soybean,Loamy,13.5,37.28,81.21,5.87,2.12
Tomato,Sandy,30.03,49.4,94.7,68.71,0.0
Maize,Peat,33.68,32.3,52.54,164.4,0.0
Wheat,Silt,14.88,71.54,11.84,69.31,0.0
Cotton,Clay,31.7,71.03,19.71,275.58,0.0
Tomato,Silt,30.68,54.78,50.83,118.88,0.0
Maize,Silt,24.19,60.74,59.4,199.21,0.0
Sugarcane,Sandy,44.22,19.05,41.65,89.32,3.75
Sugarcane,Silt,29.88,66.29,43.37,55.79,0.0
Maize,Sandy,20.79,32.19,27.18,107.87,0.0
Tomato,Clay,26.67,74.61,45.92,163.35,0.0
Sugarcane,Silt,39.53,22.31,89.65,207.52,0.0
Wheat,Peat,25.35,71.27,63.36,11.81,1.37
Maize,Silt,20.14,23.49,9.45,16.85,3.45
Barley,Clay,20.97,27.6,1.57,226.03,0.0
Rice,Sandy,12.12,87.02,38.56,175.16,0.0
Barley,Silt,17.9,56.29,25.2,136.21,0.0
Maize,Clay,12.16,75.16,76.11,209.84,0.0
Sugarcane,Peat,31.02,87.08,8.19,217.16,0.0
Sugarcane,Peat,20.9,54.81,23.75,181.22,0.0
Wheat,Loamy,11.87,11.48,10.51,137.53,0.0
Tomato,Loamy,20.5,72.92,43.28,58.53,0.0
Rice,Loamy,10.75,86.18,92.98,92.81,0.0
Cotton,Sandy,19.2,39.7,78.48,249.94,0.0
Wheat,Silt,29.48,60.58,88.54,110.89,0.0
Soybean,Loamy,21.49,75.3,31.03,273.51,0.0
Tomato,Silt,35.55,62.67,46.99,213.1,0.0
Barley,Peat,34.2,55.15,99.33,183.66,0.0
Rice,Peat,38.82,72.4,98.15,112.21,0.0
Cotton,Loamy,35.94,53.54,68.2,298.08,0.0
Soybean,Sandy,32.87,15.76,84.47,0.31,8.74
Soybean,Silt,41.6,51.05,78.37,14.02,5.12
Maize,Sandy,14.47,50.22,57.83,203.05,0.0
Soybean,Sandy,42.76,64.26,99.72,259.53,0.0
Barley,Peat,34.76,36.9,22.34,280.74,0.0
Maize,Clay,10.41,81.2,25.08,277.88,0.0
Soybean,Clay,27.69,86.79,36.49,185.47,0.0
Soybean,Peat,21.83,63.15,52.48,55.36,0.0
Cotton,Sandy,36.62,17.69,68.62,153.23,0.0
Cotton,Peat,19.81,42.14,62.28,87.44,0.0
Cotton,Loamy,17.37,68.31,6.72,59.22,0.0
Soybean,Sandy,15.81,52.7,1.32,116.17,0.0
Wheat,Loamy,42.39,58.47,84.76,94.62,0.0
Cotton,Silt,17.58,19.32,42.94,159.9,0.0
Rice,Peat,25.79,20.56,33.77,21.17,5.65
Barley,Silt,41.84,21.66,72.13,115.88,0.0
Rice,Clay,18.17,31.7,74.14,17.99,2.81
Rice,Clay,16.11,38.31,39.83,231.27,0.0
Cotton,Sandy,31.65,44.32,97.51,97.34,0.0
Cotton,Clay,40.25,84.22,27.6,137.95,0.0
Sugarcane,Sandy,24.93,11.18,79.68,274.68,0.0
Sugarcane,Sandy,42.65,11.26,53.45,183.54,0.0
Rice,Sandy,13.98,81.64,84.9,46.74,0.0
Wheat,Silt,12.0,32.15,62.35,105.18,0.0
Tomato,Peat,43.92,87.45,32.83,235.95,0.0
Rice,Peat,29.5,72.92,54.74,206.64,0.0
Sugarcane,Clay,29.16,18.51,24.25,114.38,0.0
Wheat,Silt,38.08,24.21,88.96,260.94,0.0
Barley,Clay,23.14,24.68,30.74,217.04,0.0
Cotton,Peat,42.14,10.35,62.51,183.58,0.0
Rice,Clay,26.53,87.93,18.35,224.88,0.0
Tomato,Clay,20.86,72.32,95.91,36.53,0.0
Barley,Loamy,42.05,41.58,66.87,19.22,5.64
Wheat,Loamy,16.81,49.4,95.16,3.26,2.76
Maize,Clay,26.38,57.12,79.47,252.4,0.0
Wheat,Sandy,30.3,38.51,3.94,87.8,0.0
Tomato,Sandy,37.17,87.34,14.64,162.67,0.0
Maize,Peat,18.97,87.45,86.75,145.26,0.0
Sugarcane,Silt,35.99,38.23,66.74,126.73,0.0
Barley,Peat,24.84,57.79,76.13,133.93,0.0
Cotton,Silt,30.34,21.9,64.52,80.46,0.0
Barley,Clay,20.69,24.4,35.14,4.99,4.24
Cotton,Loamy,13.52,46.42,58.73,81.35,0.0
Cotton,Peat,44.22,86.07,59.61,231.52,0.0
Maize,Sandy,20.77,65.29,84.06,237.4,0.0
Cotton,Clay,21.43,44.56,16.94,69.27,0.0
Cotton,Clay,19.67,71.21,30.91,91.29,0.0
Cotton,Loamy,13.26,76.6,53.46,28.03,0.0
Cotton,Peat,40.3,34.41,65.04,15.2,6.2
Barley,Clay,22.25,82.91,6.76,26.36,0.0
Rice,Peat,36.07,57.31,62.59,150.88,0.0
Maize,Clay,38.23,76.82,28.06,172.14,0.0
Rice,Sandy,43.48,34.89,4.27,22.67,8.6
Cotton,Sandy,32.73,12.18,82.89,142.25,0.0
Tomato,Sandy,12.05,50.78,14.49,258.4,0.0
Wheat,Clay,39.71,69.71,0.99,121.8,0.0
Sugarcane,Peat,40.5,25.48,0.99,150.77,0.0
Soybean,Peat,29.89,63.95,47.09,142.33,0.0
Sugarcane,Loamy,34.11,44.99,46.71,271.12,0.0
Rice,Sandy,43.43,35.67,72.06,208.16,0.0
Barley,Sandy,24.42,67.77,18.2,43.26,0.0
Soybean,Loamy,33.26,80.34,73.75,200.21,0.0
Soybean,Loamy,13.77,87.0,52.47,13.36,0.0
Wheat,Sandy,24.46,87.51,76.7,18.29,0.0
Rice,Peat,42.54,81.98,42.04,28.21,0.0
Sugarcane,Sandy,20.54,40.4,92.15,19.82,2.62
Tomato,Silt,25.87,16.13,68.25,137.47,0.0
Cotton,Clay,16.84,49.97,85.08,132.69,0.0
Wheat,Clay,43.51,79.25,27.68,292.94,0.0
Barley,Clay,43.16,89.66,94.63,163.67,0.0
Maize,Silt,10.06,17.69,8.12,254.84,0.0
Maize,Silt,39.25,35.15,56.45,65.62,1.92
Cotton,Clay,29.01,24.53,71.43,109.61,0.0
Maize,Sandy,30.12,89.84,26.6,241.24,0.0
Wheat,Sandy,17.88,28.61,71.55,88.06,0.0
Cotton,Peat,31.13,24.95,29.39,208.03,0.0
Cotton,Clay,39.71,19.96,3.17,181.55,0.0
Barley,Silt,43.48,27.6,44.32,205.09,0.0
Barley,Silt,44.46,36.83,19.1,151.69,0.0
Soybean,Silt,36.13,25.92,96.89,81.51,0.73
Soybean,Clay,33.32,16.68,84.92,144.29,0.0
Rice,Clay,23.62,34.13,57.61,264.07,0.0
Maize,Peat,44.03,15.23,89.19,253.38,0.0
Rice,Clay,32.76,69.35,56.54,186.48,0.0
Maize,Clay,12.74,54.23,79.15,12.16,0.73
Wheat,Silt,25.86,86.75,95.87,94.33,0.0
Sugarcane,Peat,23.6,69.1,6.37,197.4,0.0
Soybean,Loamy,41.54,75.21,96.97,68.99,0.0
Tomato,Peat,22.2,12.36,96.4,94.83,0.0
Sugarcane,Clay,33.94,52.87,30.7,291.35,0.0
Cotton,Clay,17.35,34.1,5.12,43.38,0.0
Rice,Peat,22.14,56.71,25.89,89.5,0.0
Soybean,Silt,31.71,12.62,40.9,274.02,0.0
Wheat,Peat,14.82,50.59,23.25,147.09,0.0
Soybean,Sandy,18.51,39.57,41.62,83.87,0.0
Maize,Sandy,33.12,12.39,59.76,87.96,0.88
Soybean,Peat,22.82,42.39,35.95,172.59,0.0
Tomato,Clay,20.07,72.16,26.64,20.54,0.0
Tomato,Clay,35.55,53.29,78.45,33.91,2.25
Rice,Silt,15.01,20.04,45.2,188.16,0.0
Soybean,Loamy,42.18,57.25,72.39,141.84,0.0
Tomato,Loamy,21.95,19.4,78.44,106.13,0.0
Soybean,Silt,34.06,12.59,25.79,143.78,0.0
Wheat,Clay,28.47,46.62,61.64,164.31,0.0
Cotton,Sandy,44.8,28.52,43.73,203.0,0.0
Wheat,Peat,31.14,53.03,97.81,46.64,0.23
Barley,Silt,25.26,44.42,33.34,299.88,0.0
Wheat,Loamy,34.11,89.26,48.77,134.81,0.0
Tomato,Silt,44.74,64.07,98.45,96.87,0.0
Maize,Loamy,16.84,47.27,49.83,192.19,0.0
Soybean,Silt,16.43,62.44,22.89,81.09,0.0
Wheat,Silt,40.96,46.87,41.69,244.25,0.0
Sugarcane,Loamy,31.96,66.6,27.5,227.61,0.0
Soybean,Clay,35.81,17.13,71.83,180.83,0.0
Wheat,Peat,22.0,77.89,25.4,137.0,0.0
Cotton,Sandy,16.47,41.51,81.82,249.04,0.0
Sugarcane,Sandy,11.02,75.98,77.76,133.56,0.0
Wheat,Loamy,36.43,71.58,92.39,196.66,0.0
Maize,Silt,29.1,76.18,83.86,12.7,1.04
Wheat,Sandy,11.6,39.81,14.34,159.53,0.0
Tomato,Loamy,22.61,34.38,96.96,236.06,0.0
Barley,Loamy,43.3,10.95,47.84,128.95,0.0
Rice,Sandy,38.62,73.48,13.89,124.27,0.0
Sugarcane,Clay,37.54,37.63,18.2,90.89,0.0
Maize,Silt,36.89,60.47,89.92,53.69,0.0
Rice,Clay,38.36,50.93,88.13,192.9,0.0
Maize,Silt,33.2,84.71,64.38,195.1,0.0
Maize,Silt,32.99,21.11,57.4,35.77,5.1
Cotton,Clay,25.03,10.56,21.19,48.15,2.25
Maize,Clay,19.05,58.85,46.36,289.35,0.0
Tomato,Loamy,42.65,53.5,91.23,37.37,3.02
Maize,Loamy,41.58,87.61,51.43,9.86,0.73
Rice,Silt,20.6,24.09,57.35,82.22,0.0
Tomato,Sandy,21.12,68.48,94.46,268.24,0.0
Soybean,Clay,20.02,30.91,57.29,267.97,0.0
Rice,Sandy,36.64,31.77,64.89,208.61,0.0
Rice,Silt,30.01,87.81,10.77,43.96,0.0
Tomato,Sandy,18.67,24.68,74.7,148.52,0.0
Wheat,Clay,31.88,41.89,35.51,235.04,0.0
Barley,Sandy,38.91,55.39,63.19,120.84,0.0
Barley,Loamy,43.3,62.62,78.58,270.68,0.0
Cotton,Sandy,21.73,35.17,15.12,48.09,0.0
Cotton,Silt,17.4,30.29,32.38,40.87,0.0
Barley,Peat,25.15,22.75,45.06,118.17,0.0
Sugarcane,Silt,17.05,46.19,22.26,97.69,0.0
Soybean,Clay,31.26,79.81,51.63,101.29,0.0
Wheat,Peat,14.02,42.72,36.35,179.22,0.0
Rice,Silt,30.35,12.17,28.98,273.52,0.0
Soybean,Sandy,33.48,46.59,58.43,253.34,0.0
Rice,Silt,19.53,32.84,84.52,205.41,0.0
Barley,Peat,33.54,40.06,72.56,124.45,0.0
Soybean,Sandy,32.18,57.7,55.75,288.16,0.0
Rice,Clay,15.56,80.66,54.05,298.81,0.0
Rice,Peat,11.35,23.31,48.66,289.85,0.0
Soybean,Sandy,36.78,31.3,12.49,191.01,0.0
Barley,Loamy,14.77,21.23,53.94,120.24,0.0
Barley,Silt,10.31,61.2,34.17,117.68,0.0
Barley,Silt,29.25,28.46,45.83,201.03,0.0
Tomato,Peat,11.33,61.29,54.81,51.14,0.0
Tomato,Clay,43.4,66.31,85.57,45.19,0.37
Sugarcane,Peat,44.09,58.93,13.18,142.85,0.0
Tomato,Clay,13.31,71.76,73.2,58.18,0.0
Wheat,Sandy,12.47,57.29,46.15,93.2,0.0
Maize,Sandy,13.72,73.13,77.4,182.42,0.0
Cotton,Silt,35.43,78.64,33.94,138.02,0.0
Barley,Sandy,41.36,32.42,67.56,274.03,0.0
Soybean,Silt,41.41,19.75,22.93,252.84,0.0
Maize,Loamy,13.41,86.88,21.15,2.2,0.37
Soybean,Silt,40.42,18.66,47.6,155.63,0.0
Maize,Peat,23.84,44.82,36.72,57.98,0.0
Maize,Silt,39.75,44.52,31.06,204.06,0.0
Maize,Clay,35.52,66.94,1.75,140.47,0.0
Cotton,Silt,40.72,82.31,14.38,39.91,0.0
Maize,Sandy,40.06,13.64,94.71,131.79,0.0
Maize,Loamy,35.7,51.06,22.81,76.57,0.0
Maize,Silt,28.62,55.09,36.53,28.76,1.41
Soybean,Sandy,31.38,28.91,15.5,244.4,0.0
Maize,Sandy,17.96,28.74,62.51,183.25,0.0
Wheat,Clay,21.82,58.46,94.74,75.82,0.0
Soybean,Peat,12.59,10.28,0.18,129.05,0.0
Barley,Sandy,43.16,32.84,30.93,272.27,0.0
Soybean,Clay,30.89,12.38,56.35,252.75,0.0
Barley,Silt,35.95,40.32,90.26,293.91,0.0
Tomato,Peat,36.67,46.97,25.58,160.21,0.0
Tomato,Sandy,27.81,31.05,85.04,120.28,0.0
Rice,Silt,13.64,39.49,94.02,100.77,0.0
Barley,Silt,32.58,38.53,40.32,168.12,0.0
Soybean,Loamy,11.65,71.96,11.97,160.8,0.0
Rice,Silt,28.73,86.37,53.67,80.63,0.0
Tomato,Silt,16.76,48.07,83.32,248.36,0.0
Barley,Silt,13.58,28.02,14.92,136.64,0.0
Sugarcane,Sandy,12.79,71.49,4.23,155.83,0.0
Rice,Silt,18.73,22.88,13.39,198.5,0.0
Rice,Clay,38.52,31.5,25.86,241.06,0.0
Maize,Silt,32.08,64.0,82.12,81.4,0.0
Soybean,Loamy,28.39,29.82,88.76,68.84,0.0
Soybean,Clay,41.85,42.01,78.27,256.91,0.0
Wheat,Sandy,31.22,28.06,22.87,299.4,0.0
Tomato,Clay,22.43,69.89,18.47,83.42,0.0
Tomato,Peat,22.0,84.82,53.42,257.41,0.0
Barley,Loamy,16.17,85.33,33.3,149.29,0.0
Wheat,Loamy,27.84,37.79,18.05,299.7,0.0
Maize,Clay,40.93,16.22,8.22,105.36,0.89
Sugarcane,Peat,25.75,86.48,22.03,179.48,0.0
Barley,Sandy,15.78,13.47,52.54,112.67,0.0
Tomato,Clay,19.78,18.45,41.11,238.17,0.0
Soybean,Silt,33.01,47.82,90.08,98.55,0.0
Soybean,Sandy,27.92,41.71,39.82,178.99,0.0
Maize,Loamy,24.54,65.44,42.95,118.41,0.0
Maize,Silt,29.43,34.28,63.13,159.76,0.0
Sugarcane,Clay,31.55,32.82,7.4,105.86,0.0
Cotton,Clay,43.25,25.01,85.09,209.15,0.0
Cotton,Clay,37.61,72.28,23.64,0.21,2.94
Barley,Loamy,39.89,15.88,57.42,254.81,0.0
Barley,Silt,40.59,58.69,74.35,272.97,0.0
Maize,Clay,43.39,57.1,93.76,279.65,0.0
Wheat,Silt,40.62,87.18,25.27,199.1,0.0
Rice,Sandy,39.77,63.9,12.94,176.84,0.0
Wheat,Loamy,31.44,84.5,6.91,150.1,0.0
Sugarcane,Loamy,20.79,32.04,51.25,155.4,0.0
Wheat,Clay,40.92,79.82,77.28,53.28,0.0
Barley,Silt,33.72,83.05,5.2,58.71,0.0
Rice,Peat,40.89,20.37,59.67,174.81,0.0
Soybean,Loamy,10.52,74.92,7.55,4.42,0.42
Sugarcane,Silt,24.64,39.21,12.32,50.05,0.0
Cotton,Silt,11.06,16.6,61.07,179.79,0.0
Maize,Silt,29.08,81.64,59.11,159.14,0.0
Rice,Loamy,15.94,72.21,60.84,253.31,0.0
Rice,Peat,20.37,64.3,68.7,158.34,0.0
Maize,Clay,11.42,62.35,14.52,200.56,0.0
Wheat,Silt,13.43,68.86,49.71,152.8,0.0
Maize,Loamy,44.5,32.46,68.39,93.61,0.66
Cotton,Loamy,35.38,57.21,36.83,148.94,0.0
Maize,Peat,11.63,58.57,3.93,188.58,0.0
Wheat,Sandy,28.26,48.95,9.7,150.64,0.0
Rice,Loamy,26.13,45.26,45.11,67.34,0.0
Maize,Peat,42.4,17.02,5.73,30.48,8.68
Tomato,Clay,36.77,69.42,55.44,99.36,0.0
Cotton,Loamy,41.06,21.75,61.81,258.23,0.0
Rice,Clay,44.54,76.45,9.12,132.4,0.0
Wheat,Silt,41.45,29.34,33.27,21.09,8.42
Barley,Clay,31.94,75.03,55.65,152.42,0.0
Wheat,Loamy,16.84,42.15,79.82,174.14,0.0
Cotton,Silt,28.09,77.19,89.99,162.55,0.0
Soybean,Peat,18.71,48.2,36.52,134.81,0.0
Tomato,Sandy,14.68,73.91,34.74,245.4,0.0
Sugarcane,Loamy,35.46,39.04,81.53,247.94,0.0
Cotton,Loamy,14.8,18.9,62.77,255.32,0.0
Maize,Silt,20.33,70.15,80.51,131.18,0.0
Tomato,Clay,34.22,27.54,27.76,220.02,0.0
Maize,Clay,22.71,84.4,44.19,36.64,0.0
Wheat,Silt,11.44,34.27,57.79,268.86,0.0
Wheat,Clay,30.09,18.36,24.15,218.54,0.0
Wheat,Clay,21.53,70.57,41.43,174.99,0.0
Barley,Silt,35.02,36.12,90.72,159.13,0.0
Soybean,Clay,37.8,17.61,51.11,46.96,5.4
Maize,Silt,38.65,50.47,93.86,266.47,0.0
Wheat,Peat,40.0,68.72,49.86,107.94,0.0
Rice,Loamy,28.11,34.52,38.94,111.99,0.0
Soybean,Sandy,39.72,26.74,51.64,90.86,0.58
Soybean,Loamy,29.37,80.37,59.56,223.88,0.0
Soybean,Clay,34.63,83.66,54.26,240.3,0.0
Wheat,Sandy,44.49,42.49,93.14,19.15,7.28
Cotton,Silt,23.55,38.42,82.77,96.78,0.0
Wheat,Silt,33.77,77.56,86.91,266.78,0.0
Sugarcane,Peat,27.85,50.65,27.43,76.08,0.0
Cotton,Peat,37.86,80.1,11.71,119.35,0.0
Sugarcane,Peat,38.66,39.21,48.38,181.03,0.0
Barley,Sandy,39.76,40.48,58.14,25.59,4.8
Tomato,Sandy,20.51,16.15,59.65,170.53,0.0
Tomato,Silt,12.46,46.79,70.49,149.83,0.0
Cotton,Loamy,17.36,14.05,87.02,195.53,0.0
Wheat,Clay,34.92,73.18,80.31,174.18,0.0
Barley,Loamy,27.29,84.4,51.98,296.82,0.0
Sugarcane,Sandy,28.61,74.99,28.69,113.47,0.0
Tomato,Silt,31.3,67.4,14.54,136.98,0.0
Barley,Peat,12.09,84.52,11.59,240.56,0.0
Barley,Sandy,43.41,17.32,49.27,206.59,0.0
Sugarcane,Clay,28.06,13.21,30.31,137.82,0.0
Tomato,Clay,42.44,30.8,95.52,64.45,3.51
Maize,Sandy,26.93,32.32,6.83,47.25,1.35
Maize,Peat,14.2,38.82,42.11,34.25,0.0
Maize,Sandy,13.77,36.75,22.01,44.84,0.0
Cotton,Silt,12.3,74.58,0.71,67.25,0.0
Maize,Peat,19.46,12.59,51.43,265.03,0.0
Tomato,Silt,18.57,82.92,78.03,115.46,0.0
Cotton,Silt,32.5,85.82,10.69,141.4,0.0
Sugarcane,Sandy,24.31,21.15,52.8,131.12,0.0
Maize,Loamy,32.03,70.55,20.24,146.89,0.0
Soybean,Peat,16.65,27.23,96.71,164.62,0.0
Rice,Peat,20.0,81.58,89.54,147.45,0.0
Sugarcane,Loamy,14.04,86.64,29.93,277.35,0.0
Barley,Silt,38.4,44.31,32.81,292.11,0.0
Sugarcane,Silt,26.47,86.62,50.25,1.88,1.24
Barley,Silt,16.63,55.73,99.1,256.64,0.0
Barley,Loamy,23.62,62.98,79.74,220.39,0.0
Rice,Clay,44.44,70.1,69.89,288.92,0.0
Wheat,Sandy,37.4,83.05,39.28,216.08,0.0
Tomato,Silt,36.86,56.78,71.83,65.36,0.0
Cotton,Silt,32.97,76.16,0.56,37.15,0.0
Sugarcane,Sandy,14.08,20.67,29.58,73.61,0.0
Barley,Peat,18.28,57.15,47.84,257.82,0.0
Rice,Sandy,16.39,48.65,62.0,10.21,2.14
Cotton,Clay,24.8,51.12,84.08,177.6,0.0
Wheat,Clay,26.63,26.94,74.15,71.28,0.0
Barley,Clay,27.23,36.45,76.64,56.52,0.1
Sugarcane,Sandy,23.92,54.18,58.87,274.99,0.0
Soybean,Loamy,41.18,51.99,87.91,111.56,0.0
Maize,Loamy,30.6,63.25,51.3,122.75,0.0
Cotton,Loamy,20.78,18.57,68.36,193.59,0.0
Wheat,Sandy,24.2,70.18,67.07,25.09,0.0
Tomato,Loamy,11.43,58.97,86.19,124.21,0.0
Cotton,Clay,24.04,73.6,76.41,251.11,0.0
Cotton,Clay,18.84,32.6,65.7,261.79,0.0
Sugarcane,Loamy,10.55,50.18,15.46,89.59,0.0
Soybean,Clay,41.05,25.38,2.21,262.53,0.0
Maize,Loamy,19.08,59.87,46.7,1.94,2.36
Tomato,Sandy,13.91,15.34,83.65,223.37,0.0
Soybean,Peat,12.26,22.69,98.65,124.17,0.0
Wheat,Clay,26.21,54.98,53.53,88.06,0.0
Sugarcane,Peat,17.07,34.2,97.21,285.75,0.0
Tomato,Sandy,28.06,33.14,89.0,89.46,0.0
Sugarcane,Silt,19.57,70.24,82.09,5.54,1.73
Soybean,Clay,31.94,77.7,58.37,48.18,0.0
Barley,Clay,25.58,76.17,9.75,114.86,0.0
Soybean,Loamy,36.31,70.42,51.52,151.68,0.0
Sugarcane,Peat,26.41,33.27,24.71,92.44,0.0
Soybean,Clay,29.95,43.1,79.21,168.0,0.0
Wheat,Sandy,15.22,15.02,16.94,102.22,0.0
Sugarcane,Silt,32.03,26.32,50.28,30.85,5.98
Barley,Silt,25.27,77.13,81.58,197.6,0.0
Soybean,Loamy,23.49,37.64,49.37,90.12,0.0
Cotton,Silt,27.9,67.65,6.18,247.53,0.0
Maize,Sandy,32.4,11.84,93.36,191.84,0.0
Cotton,Sandy,18.37,64.79,34.42,213.84,0.0
Maize,Silt,26.35,10.91,9.13,256.48,0.0
Rice,Silt,18.56,61.81,3.75,122.95,0.0
Rice,Clay,29.69,23.61,32.58,72.57,0.36
Barley,Loamy,22.41,62.48,90.46,132.62,0.0
Tomato,Sandy,41.38,36.11,59.85,41.34,4.91
Tomato,Silt,28.72,15.79,86.18,220.2,0.0
Tomato,Peat,28.23,55.69,6.57,240.87,0.0
Wheat,Clay,26.15,26.41,72.41,186.32,0.0
Soybean,Silt,44.37,72.82,85.07,283.09,0.0
Tomato,Loamy,25.07,40.04,69.07,194.51,0.0
Maize,Loamy,24.22,29.73,47.74,134.67,0.0
Tomato,Sandy,19.31,19.9,32.66,130.53,0.0
Cotton,Loamy,15.36,26.9,48.72,151.78,0.0
Maize,Loamy,14.64,64.75,37.01,95.71,0.0
Tomato,Clay,25.28,79.62,31.53,146.67,0.0
Maize,Silt,27.33,40.94,70.16,122.15,0.0
Sugarcane,Peat,17.04,10.15,78.51,60.97,0.0
Rice,Clay,22.85,14.27,35.38,267.41,0.0
Maize,Loamy,31.17,50.37,7.06,125.01,0.0
Wheat,Sandy,11.25,46.48,70.59,247.81,0.0
Wheat,Sandy,35.38,88.08,71.69,141.31,0.0
Barley,Clay,36.9,66.68,65.08,65.93,0.0
Cotton,Clay,23.52,13.29,95.83,134.41,0.0
Maize,Loamy,40.56,16.78,66.67,173.52,0.0
Wheat,Clay,14.06,57.91,32.05,189.54,0.0
Maize,Loamy,18.29,77.46,70.88,21.05,0.0
Cotton,Peat,40.42,87.49,43.41,154.54,0.0
Sugarcane,Loamy,41.46,74.44,60.61,87.88,0.0
